IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
47.238.5.0,2096,true,HKG,Asia Pacific,Hong Kong,105 ms,23061 kB/s
47.243.60.150,2096,true,HKG,Asia Pacific,Hong Kong,57 ms,21882 kB/s
47.243.74.220,2083,true,HKG,Asia Pacific,Hong Kong,63 ms,17971 kB/s
8.218.142.253,2083,true,HKG,Asia Pacific,Hong Kong,71 ms,17774 kB/s
47.238.5.0,2083,true,HKG,Asia Pacific,Hong Kong,100 ms,17273 kB/s
47.238.40.58,2053,true,HKG,Asia Pacific,Hong Kong,61 ms,16929 kB/s
47.76.189.102,2053,true,HKG,Asia Pacific,Hong Kong,91 ms,16584 kB/s
47.76.159.146,8443,true,HKG,Asia Pacific,Hong Kong,98 ms,15966 kB/s
47.238.6.58,2087,true,HKG,Asia Pacific,Hong Kong,62 ms,15532 kB/s
47.76.29.115,2053,true,HKG,Asia Pacific,Hong Kong,100 ms,15381 kB/s
8.210.107.246,2053,true,HKG,Asia Pacific,Hong Kong,68 ms,15084 kB/s
47.76.33.40,2053,true,HKG,Asia Pacific,Hong Kong,101 ms,14892 kB/s
8.218.142.253,8443,true,HKG,Asia Pacific,Hong Kong,62 ms,14857 kB/s
47.238.131.39,2083,true,HKG,Asia Pacific,Hong Kong,75 ms,14429 kB/s
47.76.159.146,2083,true,HKG,Asia Pacific,Hong Kong,106 ms,13323 kB/s
47.76.33.40,2087,true,HKG,Asia Pacific,Hong Kong,204 ms,13294 kB/s
47.238.40.58,2087,true,HKG,Asia Pacific,Hong Kong,65 ms,12509 kB/s
47.76.227.40,8443,true,HKG,Asia Pacific,Hong Kong,119 ms,12316 kB/s
47.76.203.101,2083,true,HKG,Asia Pacific,Hong Kong,67 ms,12251 kB/s
47.76.192.24,2053,true,HKG,Asia Pacific,Hong Kong,87 ms,12033 kB/s
47.242.174.27,2053,true,HKG,Asia Pacific,Hong Kong,63 ms,11909 kB/s
8.210.63.130,2087,true,HKG,Asia Pacific,Hong Kong,64 ms,11776 kB/s
47.242.174.27,2083,true,HKG,Asia Pacific,Hong Kong,63 ms,11691 kB/s
47.76.26.26,2087,true,HKG,Asia Pacific,Hong Kong,120 ms,11613 kB/s
47.76.192.24,8443,true,HKG,Asia Pacific,Hong Kong,65 ms,11484 kB/s
47.76.227.40,2053,true,HKG,Asia Pacific,Hong Kong,60 ms,11479 kB/s
47.76.98.98,2053,true,HKG,Asia Pacific,Hong Kong,61 ms,11428 kB/s
8.210.21.65,2083,true,HKG,Asia Pacific,Hong Kong,59 ms,11258 kB/s
47.76.189.102,8443,true,HKG,Asia Pacific,Hong Kong,83 ms,11248 kB/s
47.76.33.40,2083,true,HKG,Asia Pacific,Hong Kong,206 ms,11225 kB/s
47.76.178.146,2087,true,HKG,Asia Pacific,Hong Kong,70 ms,11214 kB/s
8.210.107.246,2096,true,HKG,Asia Pacific,Hong Kong,64 ms,11143 kB/s
8.217.85.14,2083,true,HKG,Asia Pacific,Hong Kong,63 ms,10988 kB/s
47.76.77.103,2053,true,HKG,Asia Pacific,Hong Kong,88 ms,10965 kB/s
47.76.29.115,2087,true,HKG,Asia Pacific,Hong Kong,100 ms,10870 kB/s
47.238.6.58,8443,true,HKG,Asia Pacific,Hong Kong,64 ms,10806 kB/s
47.76.98.98,8443,true,HKG,Asia Pacific,Hong Kong,82 ms,10645 kB/s
47.238.6.58,2053,true,HKG,Asia Pacific,Hong Kong,74 ms,10504 kB/s
47.242.183.7,2083,true,HKG,Asia Pacific,Hong Kong,61 ms,10480 kB/s
47.76.213.245,2087,true,HKG,Asia Pacific,Hong Kong,85 ms,10440 kB/s
47.76.227.128,2053,true,HKG,Asia Pacific,Hong Kong,61 ms,10408 kB/s
8.217.248.220,2083,true,HKG,Asia Pacific,Hong Kong,55 ms,10359 kB/s
47.76.33.40,8443,true,HKG,Asia Pacific,Hong Kong,99 ms,10312 kB/s
47.76.233.67,8443,true,HKG,Asia Pacific,Hong Kong,97 ms,10276 kB/s
47.242.232.14,2053,true,HKG,Asia Pacific,Hong Kong,56 ms,10258 kB/s
47.76.189.102,2096,true,HKG,Asia Pacific,Hong Kong,95 ms,10244 kB/s
8.210.63.130,2096,true,HKG,Asia Pacific,Hong Kong,66 ms,10038 kB/s
